Name on the Register,url,Register_number,Coordinates,Neighborhood,Description,Link_works,wiki,latitude,longitude,geometry
Bayard-Condict Building,https://en.wikipedia.org/wiki/Bayard-Condict_Building,76001236,40°43′35″N 73°59′43″W,Greenwich Village,Only work of architect Louis Sullivan in New York City; built between 1897 and 1899; Chicago school style,1.0,"The Bayard–Condict Building at 65 Bleecker Street between Broadway and Lafayette Street, at the head of Crosby Street in the NoHo neighborhood of Manhattan, New York City is the only work of architect Louis Sullivan in New York City. It was built between 1897 and 1899 in the Chicago School style; the associate architect was Lyndon P. Smith. The building was originally known as the Condict Building before being renamed the Bayard Building.  The building was considered to be a radical design for its time, since it contravened the strictures of American Renaissance architecture which were the accepted status quo, but had little influence on architectural design in New York City, because of its location in the industrial area that Bleecker Street was during that period. It is located in the NoHo Historic District.
The building was designated a New York City landmark in 1975, and has been a National Historic Landmark since 1976.",40.4335,-73.5943,POINT (-73.5943 40.4335)
Beaver Building,https://en.wikipedia.org/wiki/1_Wall_Street_Court,05000668,40°42′18″N 74°00′32″W,Financial District,Triangular-shaped building; designed by Clinton and Russell; completed in 1904,1.0,"1 Wall Street Court (also known as the Beaver Building and the Cocoa Exchange) is a residential building in the Financial District of Manhattan in New York City. The 15-story building, designed by Clinton and Russell in the Renaissance Revival style, was completed in 1904 at the intersection of Wall, Pearl, and Beaver Streets.
The building is shaped similarly to a flatiron because of its position at an acute angle formed by the junction of Pearl and Beaver Streets. 1 Wall Street Court's articulation consists of three horizontal sections similar to the components of a column, namely a base, shaft, and capital. The base is faced with stone, the shaft contains alternating bands of buff and tan brick, and the capital contains multicolored terracotta ornamentation depicting geometric shapes. There are carved beavers over the main entrance facing Pearl and Beaver Streets, signifying the building's original name. The superstructure is of steel frame construction.
The Beaver Building was constructed between 1903 and 1904 as a speculative development. The building served as the headquarters of the Munson Steamship Line from 1904 until 1921, and the company owned 1 Wall Street Court from 1919 to 1937. The building was foreclosed upon in 1937, and ownership subsequently passed to several other entities, including the Bowery Savings Bank. The New York Cocoa Exchange was another large tenant, occupying the building between 1931 and 1972. The commercial spaces on ground level, as well as the interior offices, were significantly altered from their original design, with major renovations in 1937 and the mid-1980s. 1 Wall Street Court was converted into a residential condominium building in 2006.
The building was designated a city landmark by the New York City Landmarks Preservation Commission in 1995 and was added to the National Register of Historic Places (NRHP) in 2005. It is also a contributing property to the Wall Street Historic District, a NRHP district created in 2007.",40.4218,-74.0032,POINT (-74.00320000000001 40.4218)
Bell Telephone Laboratories,https://en.wikipedia.org/wiki/Bell_Laboratories_Building_(Manhattan),75001202,40°44′12″N 74°00′35″W,West Village,"13 building complex; home of Bell Telephone Laboratories between 1898 and 1966. See also Westbeth, which is for the same buildings but a different reason.",1.0,"Nokia Bell Labs, originally named Bell Telephone Laboratories (1925–1984),
then AT&T Bell Laboratories (1984–1996)
and Bell Labs Innovations (1996–2007),
is an American industrial research and scientific development company owned by Finnish company Nokia. With headquarters located in Murray Hill, New Jersey, the company operates several laboratories in the United States and around the world.
Researchers working at Bell Laboratories are credited with the development of radio astronomy, the transistor, the laser, the photovoltaic cell, the charge-coupled device (CCD), information theory, the Unix operating system, and the programming languages B, C, C++, S, SNOBOL, AWK, AMPL, and others. Nine Nobel Prizes have been awarded for work completed at Bell Laboratories.Bell Labs had its origin in the complex corporate organization of the Bell Systems telephone conglomerate.  In the late 19th century, the laboratory began as the Western Electric Engineering Department, located at 463 West Street in New York City. In 1925, after years of conducting research and development under Western Electric, a Bell subsidiary, the Engineering Department was reformed into Bell Telephone Laboratories and placed under the shared ownership of the American Telephone & Telegraph Company (AT&T) and Western Electric. In the 1960s the laboratory was moved to New Jersey.  It was acquired by Nokia in 2016.",40.4412,-74.0035,POINT (-74.0035 40.4412)
Beth Hamedrash Hagodol Synagogue,"https://en.wikipedia.org/wiki/Beth_Hamedrash_Hagadol_(Manhattan,_New_York)",99001438,40°43′01″N 73°59′18″W,Lower East Side,Orthodox synagogue; oldest Orthodox Russian Jewish congregation in the United States; Gothic Revival structure; 1850,1.0,"Beth Hamedrash Hagodol (Hebrew: בֵּית הַמִּדְרָש הַגָּדוֹל, ""Great Study House"") is an Orthodox Jewish congregation that for over 120 years was located in a historic building at 60–64 Norfolk Street between Grand and Broome Streets in the Lower East Side neighborhood of Manhattan, New York City. It was the first Eastern European congregation founded in New York City and the oldest Russian Jewish Orthodox congregation in the United States.Founded in 1852 by Rabbi Abraham Ash as Beth Hamedrash, the congregation split in 1859, with the rabbi and most of the members renaming their congregation Beth Hamedrash Hagodol. The congregation's president and a small number of the members eventually formed the nucleus of Kahal Adath Jeshurun, also known as the Eldridge Street Synagogue. Rabbi Jacob Joseph, the first and only Chief Rabbi of New York City, led the congregation from 1888 to 1902. Rabbi Ephraim Oshry, one of the few European Jewish legal decisors to survive the Holocaust, led the congregation from 1952 to 2003.The congregation's building, a Gothic Revival structure built in 1850 as the Norfolk Street Baptist Church and purchased in 1885, was one of the largest synagogues on the Lower East Side. It was listed on the National Register of Historic Places in 1999. In the late 20th century the congregation dwindled and was unable to maintain the building, which had been damaged by storms. Despite their obtaining funding and grants, the structure was critically endangered.The synagogue was closed in 2007. The congregation, reduced to around 20 regularly attending members, was sharing facilities with a congregation on Henry Street. The Lower East Side Conservancy was trying to raise an estimated $4.5 million for repairs of the building, with the intent of converting it to an educational center. In December the leadership of the synagogue under Rabbi Mendel Greenbaum filed a “hardship application” with the Landmarks Preservation Commission seeking permission to demolish the building to make way for a new residential development. This application was withdrawn in March 2013, but the group Friends of the Lower East Side described Beth Hamedrash Hagodol's status as ""demolition by neglect"". The abandoned synagogue was ""largely destroyed"" by a ""suspicious"" three-alarm fire on May 14, 2017.",40.4301,-73.5918,POINT (-73.59180000000001 40.4301)
Bialystoker Synagogue,https://en.wikipedia.org/wiki/Bialystoker_Synagogue,72000861,40°42′56″N 73°59′01″W,Lower East Side,Fieldstone building; built in 1826; late Federal style architecture; originally Methodist Episcopal Church; now an Orthodox Jewish synagogue,1.0,"The Bialystoker Synagogue at 7–11 Bialystoker Place, formerly Willett Street, between Grand and Broome Streets in the Lower East Side neighborhood of Manhattan, New York City is an Orthodox Jewish synagogue.  The building was constructed in 1826 as the Willett Street Methodist Episcopal Church; the synagogue purchased the building in 1905.
The synagogue was designated a New York City Landmark in 1966. It is one of only four early-19th century fieldstone religious buildings surviving from the late Federal period in Lower Manhattan, and is the oldest building used as a synagogue in New York City.",40.4256,-73.5901,POINT (-73.59010000000001 40.4256)
Bleecker Street Subway Station (IRT),https://en.wikipedia.org/wiki/Bleecker_Street_station_(IRT_Lexington_Avenue_Line),04001012,40°43′35″N 73°59′43″W,Greenwich Village,"Subway station (4, ​6, and <6> trains); features decorative ceramic plaques made for the original IRT subway by the Grueby Faience Company in 1904",1.0,"The Broadway–Lafayette Street/Bleecker Street station is a New York City Subway station complex in the NoHo neighborhood of Manhattan on the IRT Lexington Avenue Line and the IND Sixth Avenue Line. It is served by the 6, D, and F trains at all times; the B and M trains on weekdays; the <6> and <F> trains during rush hours in the peak direction; and the 4 train during late nights.
The complex comprises two stations, Bleecker Street and Broadway–Lafayette Street. The Bleecker Street station was built for the Interborough Rapid Transit Company (IRT), and was a local station on the city's first subway line, which was approved in 1900. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The Broadway–Lafayette Street station was built as an express station for the Independent Subway System (IND) and opened on January 1, 1936.
The Bleecker Street station has two side platforms and four tracks; express trains use the inner two tracks to bypass the station. The Broadway–Lafayette Street station has two island platforms and four tracks. The transfer between the downtown IRT platform and the IND platform has been within fare control since May 19, 1957, and the corresponding free transfer from the uptown IRT platform to the rest of the station opened on September 25, 2012. The station complex contains elevators, which make it compliant with the Americans with Disabilities Act of 1990. The original portion of the Bleecker Street station's interior is a New York City designated landmark and listed on the National Register of Historic Places.",40.4335,-73.5943,POINT (-73.5943 40.4335)
Bouwerie Lane Theater,https://en.wikipedia.org/wiki/Bouwerie_Lane_Theater,80002671,40°43′32″N 73°59′11″W,NoHo,Designed by Henry Engelbert; constructed from 1873-74; originally the Bond Street Savings Bank; cast iron building; French Second Empire style; converted to a theater in 1963,1.0,"The Bouwerie Lane Theatre is a former bank building which became an Off-Broadway theatre, located at 330 Bowery at Bond Street in Manhattan, New York City. It is located in the NoHo Historic District.
The cast-iron building, which was constructed from 1873-1874, was designed by Henry Engelbert in the Italianate style for the Atlantic Savings Bank, which became the Bond Street Saving Bank before the building was completed. When the bank failed in 1879, the building was sold to the German Exchange Bank, which served the German immigrant community. Prior to the 1960s, the building was used for the storage of fabrics. Then in 1963, the building was converted into a theater by Honey Waldman, who produced several plays there. From 1974 to 2006, it was the home of the Jean Cocteau Repertory Theatre.Among the many plays and musicals that were produced at the theatre, the first was The Immoralist (1963) with Frank Langella, Dames at Sea (1968), Night and Day (2000) by Tom Stoppard, Brecht's The Threepenny Opera (2003), and the Cocteau's final production, Jean Genet's The Maids X 2 (2006).The building was purchased by Adam Gordon in 2007 for conversion into a private mansion with a climbing wall, and the Bowery street front used for retail.
In 1967, the building was designated a New York City landmark, and it was added to the National Register of Historic Places in 1980. The AIA Guide to New York City calls it ""One of the most sophisticated cast-iron buildings.""",40.4332,-73.5911,POINT (-73.5911 40.4332)
The Bowery Historic District,https://en.wikipedia.org/wiki/Bowery,13000027,40°43′17″N 73°59′37″W,The Bowery,One of the most architecturally diverse and historically significant streetscapes in the city; first residence for many immigrant groups.,1.0,"The Bowery () is a street and neighborhood in the southern portion of the New York City borough of Manhattan. The street runs from Chatham Square at Park Row, Worth Street, and Mott Street in the south to Cooper Square at 4th Street in the north. The eponymous neighborhood runs roughly from the Bowery east to Allen Street and First Avenue, and from Canal Street north to Cooper Square/East Fourth Street. The neighborhood roughly overlaps with Little Australia. To the south is Chinatown, to the east are the Lower East Side and the East Village, and to the west are Little Italy and NoHo. It has historically been considered a part of the Lower East Side.In the 17th century, the road branched off Broadway north of Fort Amsterdam at the tip of Manhattan to the homestead of Peter Stuyvesant, director-general of New Netherland. The street was known as Bowery Lane prior to 1807. ""Bowery"" is an anglicization of the Dutch bouwerie, derived from an antiquated Dutch word for ""farm"": In the 17th century the area contained many large farms.The New York City Subway's Bowery station, serving the BMT Nassau Street Line (J and ​Z trains), is located close to the Bowery's intersection with Delancey and Kenmare Streets. There is a tunnel under the Bowery once intended for use by the proposed, but never built, New York City Subway services, including the Second Avenue Subway. The M103 bus runs on the entire Bowery.",40.4317,-73.5937,POINT (-73.5937 40.4317)
Bowery Savings Bank,https://en.wikipedia.org/wiki/Bowery_Savings_Bank,80002672,40°43′08″N 73°59′44″W,The Bowery,First headquarters of the Bowery Savings Bank; designed by Stanford White; built in 1893,1.0,The Bowery Savings Bank was a bank in New York City. It was chartered in May 1834 and is now part of Capital One Bank.,40.4308,-73.5944,POINT (-73.59439999999999 40.4308)
Bowling Green Fence and Park,https://en.wikipedia.org/wiki/Bowling_Green_Fence_and_Park,80002673,40°42′18″N 74°00′51″W,South Ferry,Small public park in Lower Manhattan; oldest existing public park in New York City; origin point for ticker-tape parades,1.0,"Bowling Green is a small public park in the Financial District of Lower Manhattan, New York City, at the southern end of Broadway. Located next to the site of the original Dutch fort of New Amsterdam, it served as a public place before being designated as a park in 1733. It is the oldest public park in New York City and is surrounded by its original 18th-century fence. It included an actual bowling green and an equestrian statue of King George III prior to the American Revolutionary War.
Bowling Green is surrounded by numerous buildings, including the Alexander Hamilton U.S. Custom House, International Mercantile Marine Company Building, Bowling Green Offices Building, Cunard Building, 26 Broadway, and 2 Broadway. The Charging Bull sculpture is located on its northern end, while Battery Park is located to the southwest. The park is listed on the U.S. National Register of Historic Places under the name Bowling Green Fence and Park. It is also a contributing property to the Wall Street Historic District, an NRHP district created in 2007.",40.4218,-74.0051,POINT (-74.0051 40.4218)
Broad Exchange Building,https://en.wikipedia.org/wiki/Broad_Exchange_Building,98000366,40°42′21″N 74°00′41″W,Financial District,1902 building was the largest office building in the Financial District. It is now a luxury residential building.,1.0,"The Broad Exchange Building, also known as 25 Broad Street, is a residential building at Exchange Place and Broad Street in the Financial District of Lower Manhattan in New York City. The 20-story building was designed by Clinton & Russell and built between 1900 and 1902. The Alliance Realty Company developed the Broad Exchange Building as a speculative development for office tenants.
The Broad Exchange Building is either 20 or 21 stories tall. its articulation consists of three horizontal sections similar to the components of a column, namely a base, shaft, and capital. The lowest three stories of the facade are clad with rusticated granite blocks; the fourteen-story shaft is clad with brick; and the top stories are clad with granite and terracotta, topped by a copper cornice. Inside, the building originally contained office space, but as of 2019, has 307 residential units. With 326,500 square feet (30,330 m2) of rental space in total, the Broad Exchange Building was Manhattan's largest office building upon its completion.
Due to the Broad Exchange Building's proximity to the New York Stock Exchange Building, many financial firms sought space in the building. The Broad Exchange Building was sold off numerous times in the late 20th and early 21st centuries. The Broad Exchange Building was gutted and renovated into apartments in the late 1990s, and a southern wing of the building was demolished in the early 21st century. The building was added to the National Register of Historic Places (NRHP) in 1998, and was designated a city landmark by the New York City Landmarks Preservation Commission in 2000. It is also a contributing property to the Wall Street Historic District, a NRHP district created in 2007.",40.4221,-74.0041,POINT (-74.00409999999999 40.4221)
Brooklyn Bridge,https://en.wikipedia.org/wiki/Brooklyn_Bridge,66000523,40°42′23″N 73°59′51″W,Civic Center,"One of the oldest suspension bridges in the United States; 5,989 feet (1825 m) long; iconic part of the New York skyline",1.0,"One of the oldest suspension bridges in the United States; 5,989 feet (1825 m) long; iconic part of the New York skyline",40.4223,-73.5951,POINT (-73.5951 40.4223)
Brooklyn Bridge-City Hall Subway Station (IRT),https://en.wikipedia.org/wiki/Brooklyn_Bridge%E2%80%93City_Hall_station,05000674,40°42′47″N 74°00′16″W,Civic Center,"Subway station (4, ​5, ​6, and <6> trains)",1.0,"The Brooklyn Bridge–City Hall/Chambers Street station is a New York City Subway station complex in Lower Manhattan. The complex is served by trains of the IRT Lexington Avenue Line and the BMT Nassau Street Line. The station is served by the 4, 6, and J trains at all times; the 5 train at all times except late nights; the ⟨6⟩ train on weekdays in the peak direction; and the Z train during rush hours in the peak direction.
The complex comprises two stations, Brooklyn Bridge–City Hall and Chambers Street. The Brooklyn Bridge–City Hall station was built for the Interborough Rapid Transit Company (IRT), and was an express station on the city's first subway line. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The Chambers Street station was built for the Brooklyn Rapid Transit Company (later the Brooklyn–Manhattan Transit Corporation, or BMT) as part of the Dual Contracts. The Nassau Street Line station opened on August 4, 1913. Several modifications have been made to both stations over the years, and they were connected within a single fare control area in 1948.
The Lexington Avenue Line station, under Centre Street, has two island platforms, two side platforms, and four tracks; the side platforms are not in use. The Nassau Street Line station, under the Manhattan Municipal Building, has three island platforms, one side platform, and four tracks; only the outer tracks and two of the island platforms are in use. The complex contains elevators that make it compliant with the Americans with Disabilities Act of 1990.",40.4247,-74.0016,POINT (-74.0016 40.4247)
James Brown House,"https://en.wikipedia.org/wiki/James_Brown_House_(New_York,_New_York)",83001717,40°43′33″N 74°00′35″W,Hudson Square,"Rare example of Federal architecture in New York; built before 1812; home of James Brown, Revolutionary War veteran; site of one of the oldest bars in the City",1.0,"Rare example of Federal architecture in New York; built before 1812; home of James Brown, Revolutionary War veteran; site of one of the oldest bars in the City",40.4333,-74.0035,POINT (-74.0035 40.4333)
Building at 19 Rector St.,https://en.wikipedia.org/wiki/Building_at_19_Rector_St.,02000551,40°42′28″N 74°00′52″W,Financial District,,1.0,"88 Greenwich Street, also known as the Greenwich Club Residences and previously as 19 Rector Street, is a building on the south side of Rector Street between Greenwich and Washington Streets in the Financial District of Manhattan in New York City. Built in 1929–30, the 37-story building was designed by Lafayette A. Goldstone and Alexander Zamshnick in the Art Deco style.An entrance to the New York City Subway's Rector Street station was in the basement of the building, and opened in 1931. This entrance had closed by 1941.88 Greenwich Street was added to the National Register of Historic Places in 2002.  The building was renovated into residential condominium use in 2006. In 2012, the building was affected by flooding from Hurricane Sandy. Three million cubic feet of salt water entered the basement of the building, causing significant damage. During the flooding, water dislodged an oil tank, which cracked after hitting a ceiling beam.",40.4228,-74.0052,POINT (-74.0052 40.4228)
Building at 21 West Street,https://en.wikipedia.org/wiki/Building_at_21_West_Street,99000316,40°42′22″N 74°00′57″W,Financial District,,1.0,"21 West Street, also known as Le Rivage Apartments, is a 33-story building located in the Financial District of Lower Manhattan in New York City, on Morris Street between West Street and Washington Street. It was built in 1929–1931 as a speculative office tower development in anticipation of an increased demand for office space in Lower Manhattan. The building was converted into apartments in 1997 and was renamed Le Rivage.
The building has an Art Deco design with many lavish architectural finishes and a series of setbacks which taper toward the top floors. It was designed by Starrett & van Vleck, who at the same time designed the adjacent Downtown Athletic Club. 21 West Street was listed on the National Register of Historic Places in 1999 and designated a city landmark by the New York City Landmarks Preservation Commission in 1998.",40.4222,-74.0057,POINT (-74.0057 40.4222)
Building at 116 John Street,https://en.wikipedia.org/wiki/Building_at_116_John_Street,14000331,40°42′27″N 74°00′22″W,Financial District,Art Deco building from early 1930s is one of the last skyscrapers erected during 1920s building boom. Converted into apartments in 2010s.,1.0,"116 John Street is a historic office tower at the southwest corner of John Street and Pearl Street in the Financial District of Lower Manhattan in New York City. It was built in 1931, and is a 35-story brick and terra cotta building consisting of a three-story base, a 19-story shaft, and 12 upper stories that recede in a series of setbacks. The building features Art Deco style design elements at the recessed entrances and in the lobby. Built as a speculative office building for insurance companies, the building interior was rehabilitated in 2013 and some floors converted to apartments.: 3–4, 7 It was listed on the National Register of Historic Places in 2014.",40.4227,-74.0022,POINT (-74.0022 40.4227)
